# Mini-Circuits,Lab.
# Model:ZVA-183+
# Mini-Circuits,Lab.,Run:,EXPRM,,Date,Code:,1030;
# Fixture:,N/R;,Vcc=+12V,,Icc=330mA;
# Connection:,Port,1,to,Input,,Port,2,to,Output;
# Mini-Circuits,Lab.,Tested,with,PNA-X,Network,Analyzer,AG,N5242A,,S/N,71404,,Cal.Due.:,05/26/2011.
DG(dB)=0
freq(Hz)	gain(dB)	phase(rad)	directivity(dB)	vsvr(:1)	nf(dB)	op1db(dBm)	freq_1(Hz)	oip3(dBm)	freq_2(Hz)
1620000000.0	28.14985	-2.6928021803904754	49.5008	1.3194	1.375	4.195	1620000000.0	37.0386	1620000000.0
1640000000.0	28.15869	-2.7374738825952702	49.4976	1.3168	1.37	4.18	1640000000.0	37.029199999999996	1640000000.0
1660000000.0	28.16939	-2.782170019409593	49.4944	1.3142	1.365	4.165	1660000000.0	37.0198	1660000000.0
1680000000.0	28.1787	-2.8267719084443077	49.4912	1.3115999999999999	1.36	4.15	1680000000.0	37.0104	1680000000.0
1700000000.0	28.18727	-2.8711870472490597	49.488	1.309	1.355	4.135	1700000000.0	37.001	1700000000.0
1720000000.0	28.19772	-2.9155829874320394	49.4848	1.3064	1.35	4.12	1720000000.0	36.9916	1720000000.0
1740000000.0	28.20526	-2.959834065287104	49.4816	1.3038	1.345	4.105	1740000000.0	36.9822	1740000000.0
1760000000.0	28.21368	-3.004022311289096	49.4784	1.3012	1.34	4.09	1760000000.0	36.9728	1760000000.0
1780000000.0	28.22065	-3.047960975208053	49.4752	1.2986	1.335	4.075	1780000000.0	36.9634	1780000000.0
1800000000.0	28.22817	-3.0920724267229582	49.472	1.296	1.33	4.0600000000000005	1800000000.0	36.954	1800000000.0
1820000000.0	28.23536	-3.135829576399708	49.4688	1.2934	1.325	4.045	1820000000.0	36.9446	1820000000.0
1840000000.0	28.24102	3.103539239908561	49.465599999999995	1.2908	1.32	4.03	1840000000.0	36.9352	1840000000.0
